index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM,Pitch,Roll,Yaw
24,264,-8,16428,-1808,-1209,-422,-209,15440,239,242,163,965,0.9201373778516906,-0.027719177599100576,44.9963056206218
25,320,-76,16368,-1840,-710,-66,-243,15409,240,242,163,965,1.120000882106495,-0.2656252692057572,44.99452617259884
26,272,192,16412,-1824,-660,-328,-108,15518,240,242,163,965,0.9487208878584641,0.669459380250192,44.99607198220308
27,380,8,16288,-1872,-679,-263,-185,15489,240,242,163,965,1.336475518653301,0.027953431689133865,44.9922056684247
28,444,-208,16276,-1888,-331,1,-234,15560,240,242,163,965,1.561949905571307,-0.7317266948604396,44.989351799257626
29,260,116,16300,-1840,-559,-159,-163,15501,240,242,163,965,0.9138198157716667,0.4073299059553547,44.99635599567527
30,180,324,16388,-1840,-1154,-468,-164,15597,240,242,163,965,0.6291704303157668,1.1320199199209324,44.99827204565788
31,256,44,16424,-1840,-1471,-643,-324,15612,240,242,163,965,0.8926413712895619,0.15294156404713158,44.996523101103946
32,116,-164,16340,-1888,-462,-246,-193,15501,240,242,163,965,0.40636406266939923,-0.5744885177862272,44.99927939832376
33,200,236,16344,-1872,-700,-120,-244,15666,240,243,163,965,0.7010216948871105,0.8268541724562062,44.997855225753426
34,384,8,16408,-1904,-14,-56,-155,15579,240,242,163,965,1.3401279880513035,0.027748952177091484,44.9921630039103
35,440,-76,16476,-1840,-246,68,-259,15620,240,242,163,965,1.5297427725335964,-0.26384129757473024,44.98978790130523
36,288,152,16284,-1904,-293,111,-229,15498,239,242,163,965,1.013016842225232,0.5340012539964677,44.995521721842145
37,364,268,16536,-1888,-362,104,-254,15622,240,242,163,965,1.2603338099770116,0.9281185461855466,44.99306673877867
38,200,188,16312,-1904,-316,8,-209,15618,240,242,163,965,0.7024255349658819,0.660097960969439,44.99784678951083
39,180,140,16392,-1920,-319,94,-204,15613,240,242,163,965,0.6291226673651031,0.4893137456148589,44.99827285640471
40,204,244,16444,-1920,-419,-34,-214,15610,240,242,163,965,0.7101527343703483,0.8495128340677032,44.997798962172645
41,212,96,16380,-1920,-334,70,-209,15610,240,242,163,965,0.740785601203466,0.3354088116542487,44.997605419593484
42,204,76,16444,-1920,-189,79,-195,15604,240,242,163,965,0.7102232390914903,0.2644294860397833,44.997798962172645
43,244,156,16384,-1952,349,393,-236,15522,239,242,164,965,0.8526503208596306,0.5451104954686852,44.996827404959916
44,4166,965,0,-2045,349,393,-236,15522,239,242,164,965,76.95954659425152,13.040453405748494,0.0
45,216,216,16304,-1936,-414,102,-229,15012,240,242,163,965,0.7586065625862161,0.7586065625862161,44.997488464058755
46,108,100,16392,-1968,-130,423,-142,13133,240,236,160,965,0.3773108126968099,0.3495274728884767,44.99937879466042
47,236,308,16428,-1936,-249,82,-249,13399,241,234,158,965,0.8225387889999003,1.0737967206703383,44.99704676754174
48,492,168,16552,-1952,-761,-677,-145,13562,241,233,158,965,1.7018114283778274,0.5810957767399146,44.98735994994391
49,468,-20,16308,-1920,-487,146,-243,13093,240,233,158,965,1.6436224983731311,-0.07023835848961783,44.98821087029722
50,332,-12,16580,-1936,-644,-296,-156,13237,241,233,158,965,1.1464357004167434,-0.04075156708446335,44.99426483419657
