index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM,Pitch,Roll,Yaw
38,-2100,-204,15948,-1776,1129,-3189,-2206,37436,94,205,250,965,-7.500851764050029,-0.7260460857165533,44.753766019261754
39,2716,1212,16080,-1792,841,-6815,-620,35638,95,205,250,965,9.56012267351681,4.249721133276716,44.59711525657688
40,3832,4024,16036,-1808,1267,3077,-833,22708,117,217,248,965,13.04882402242029,13.715297376345577,44.20473571191468
41,1724,4296,16068,-1840,224,3315,-12,21089,121,218,247,965,5.917260500176689,14.886796464670912,44.83607358519562
42,-44,5180,15052,-1840,291,1115,-14,31383,96,204,250,965,-0.1578189754369242,18.990570904445065,44.99987845216628
43,-504,5344,15384,-1856,343,478,-519,39166,87,200,251,965,-1.7720640567797938,19.14604057319396,44.98464337298255
44,-1856,6116,14816,-1840,488,1514,-871,45502,82,198,251,965,-6.604686957445668,22.273611520431505,44.77698962234641
45,-2960,6356,14512,-1872,-550,-369,-838,48718,79,196,251,965,-10.582976359266025,23.226360546336476,44.416162174067225
46,-2352,5608,14960,-1856,-1513,-989,-81,53565,77,196,252,965,-8.373958803048282,20.32034224707544,44.65031619741345
47,-1772,4524,15504,-1824,-1963,-1137,-140,49836,78,196,252,965,-6.260662987859104,16.166963622418095,44.814139580447346
